Kommun,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Stockholm,3627.5,3655.4,3700.1,3756.9,3796.9,3836.1,3883.5,3930.3,3961.8,3997.2,4021.7,4038.7,4057.8,4075.0,4106.9,4163.0,4228.2,4307.8,4410.4,4504.3,4617.9,4708.2,4796.2,4872.8,4934.5,4999.1,5074.7,
Norrtälje,23.8,24.2,24.7,25.0,25.2,25.4,25.6,25.8,25.9,26.2,26.5,26.7,26.9,27.0,27.2,27.3,27.5,27.6,27.8,27.9,27.9,28.0,28.2,28.6,29.1,29.5,30.2,
Norrköping,81.0,81.0,81.2,82.7,83.0,82.9,82.5,82.1,81.3,81.3,81.7,82.0,82.4,82.7,82.9,83.4,84.3,85.2,86.0,86.5,87.4,88.3,89.5,90.5,91.6,93.2,94.2,
Växjö,41.9,42.3,42.7,43.3,43.5,43.7,43.9,44.0,44.0,44.1,44.2,44.8,45.2,45.8,46.1,46.9,47.5,48.4,49.0,49.6,50.3,50.9,51.5,52.2,52.9,53.7,54.7,
Gotland,18.3,18.3,18.4,18.5,18.5,18.5,18.4,18.4,18.2,18.2,18.2,18.2,18.3,18.3,18.2,18.2,18.1,18.1,18.2,18.2,18.3,18.2,18.2,18.3,18.3,18.5,18.7,
Karlskrona,56.8,56.9,57.3,58.1,58.1,57.9,57.8,57.9,57.7,57.9,57.9,58.0,58.1,58.4,58.6,59.1,59.5,60.0,60.5,61.2,61.6,61.1,61.3,61.8,62.7,63.6,64.0,
Lund,208.0,213.6,218.7,222.6,224.2,225.7,226.7,227.5,228.5,230.0,231.5,233.3,234.7,235.7,237.7,240.0,244.7,249.5,253.7,256.8,261.4,264.3,267.5,271.5,273.6,277.6,284.0,
Göteborg,963.3,967.1,974.9,991.1,1001.4,1012.2,1018.0,1024.6,1026.1,1036.1,1045.6,1053.7,1060.7,1068.1,1076.0,1086.6,1094.9,1109.8,1125.6,1139.9,1162.2,1174.9,1191.0,1208.2,1224.0,1242.8,1259.3,
Strömstad,22.6,22.6,22.6,22.7,22.6,22.7,22.6,22.7,23.4,23.5,23.8,23.8,23.8,24.1,24.4,24.5,24.5,24.6,24.8,25.0,25.7,26.3,26.7,27.2,27.5,28.0,28.3,
Karlstad,65.9,66.2,66.7,67.6,68.1,68.1,68.2,68.3,68.6,68.9,69.3,69.5,69.8,70.2,70.5,71.1,71.8,72.1,72.7,73.6,73.9,74.3,75.1,75.6,76.4,77.2,78.0,
Borlänge,80.0,80.7,81.2,82.1,82.6,82.6,82.2,81.6,80.9,80.5,80.0,80.2,80.0,80.1,80.1,80.8,81.4,82.1,83.0,83.9,84.5,84.7,85.7,86.9,87.3,88.4,89.0,
Åre,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,
Östersund,26.3,26.5,26.6,26.9,26.9,26.8,26.6,26.4,26.3,26.2,26.3,26.2,26.3,26.3,26.3,26.4,26.4,26.5,26.6,26.8,26.9,26.9,27.2,27.4,27.7,28.0,28.3,
Umeå,40.0,41.0,42.0,42.8,43.7,44.2,44.5,44.7,44.6,44.8,45.0,45.7,46.3,46.9,47.5,47.7,47.9,48.4,48.9,49.5,50.3,50.6,51.1,51.6,52.1,53.0,54.0,
Luleå,37.9,38.1,38.6,39.1,39.3,39.4,39.6,39.5,33.8,34.0,34.1,34.2,34.2,34.4,34.5,34.7,34.7,34.8,35.0,35.2,35.5,35.7,36.0,36.3,36.3,36.7,37.1,
Kiruna,1.3,1.3,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,
