City,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Stockholms län,309.7,315.1,320.5,325.9,331.4,336.9,342,347.8,353.8,359.9
Uppsala län,40.4,40.9,41.3,41.7,42.2,42.6,43.2,44.1,45.1,46
Södermanlands län,44.1,44.4,44.9,45.2,45.7,46.2,46.7,47.4,48,48.5
Östergötlands län,40.3,40.5,40.9,41.1,41.5,41.9,42.2,42.8,43.3,43.7
Jönköpings län,32,32.1,32.4,32.4,32.7,33,33.3,33.8,34.2,34.6
Kronobergs län,21.6,21.7,21.9,22,22.2,22.5,22.7,23.1,23.4,23.7
Kalmar län,20.8,20.8,20.9,20.9,21,21.1,21.3,21.7,21.8,21.9
Gotlands län,18.2,18.2,18.3,18.2,18.2,18.3,18.3,18.5,18.7,18.9
Blekinge län,51.8,52,52.2,51.9,52.1,52.6,53.3,54.1,54.4,54.5
Skåne län,111.6,112.7,114.2,115.1,116.2,117.5,118.9,120.8,122.6,124.2
Hallands län,54.3,54.8,55.6,56,56.5,57.2,58,59,59.9,60.7
Västra Götalands län,65.5,66,66.8,67.2,67.9,68.6,69.3,70.2,71,71.8
Värmlands län,15.5,15.5,15.6,15.5,15.6,15.7,15.7,15.9,16,16.1
Örebro län,32.6,32.8,33.1,33.2,33.6,33.9,34.2,34.7,35.1,35.5
Västmanlands län,48.9,49.1,49.7,50,50.6,51.1,51.6,52.3,53,53.5
Dalarnas län,9.8,9.8,9.9,9.8,9.9,10,10,10.2,10.2,10.2
Gävleborgs län,15.2,15.2,15.2,15.2,15.3,15.5,15.6,15.7,15.8,15.8
Västernorrlands län,11.2,11.2,11.2,11.2,11.2,11.3,11.3,11.4,11.4,11.4
Jämtlands län,2.6,2.6,2.6,2.5,2.6,2.6,2.6,2.6,2.7,2.7
Västerbottens län,4.7,4.7,4.7,4.7,4.8,4.8,4.8,4.9,4.9,4.9
Norrbottens län,2.5,2.5,2.6,2.5,2.6,2.6,2.6,2.6,2.6,2.6
